time=25000, curr=(515,295), pos=(520,300), read_mem_en=0, addr=4294967141, pix=000
time=35000, curr=(516,295), pos=(520,300), read_mem_en=0, addr=4294967142, pix=000
time=45000, curr=(517,295), pos=(520,300), read_mem_en=0, addr=4294967143, pix=000
time=55000, curr=(518,295), pos=(520,300), read_mem_en=0, addr=4294967144, pix=000
time=65000, curr=(519,295), pos=(520,300), read_mem_en=0, addr=4294967145, pix=000
time=75000, curr=(520,295), pos=(520,300), read_mem_en=0, addr=4294967146, pix=000
time=85000, curr=(521,295), pos=(520,300), read_mem_en=0, addr=4294967147, pix=000
time=95000, curr=(522,295), pos=(520,300), read_mem_en=0, addr=4294967148, pix=000
time=105000, curr=(523,295), pos=(520,300), read_mem_en=0, addr=4294967149, pix=000
time=115000, curr=(524,295), pos=(520,300), read_mem_en=0, addr=4294967150, pix=000
time=125000, curr=(525,295), pos=(520,300), read_mem_en=0, addr=4294967151, pix=000
time=135000, curr=(526,295), pos=(520,300), read_mem_en=0, addr=4294967152, pix=000
time=145000, curr=(527,295), pos=(520,300), read_mem_en=0, addr=4294967153, pix=000
time=155000, curr=(528,295), pos=(520,300), read_mem_en=0, addr=4294967154, pix=000
time=165000, curr=(529,295), pos=(520,300), read_mem_en=0, addr=4294967155, pix=000
time=175000, curr=(530,295), pos=(520,300), read_mem_en=0, addr=4294967156, pix=000
time=185000, curr=(531,295), pos=(520,300), read_mem_en=0, addr=4294967157, pix=000
time=195000, curr=(532,295), pos=(520,300), read_mem_en=0, addr=4294967158, pix=000
time=205000, curr=(533,295), pos=(520,300), read_mem_en=0, addr=4294967159, pix=000
time=215000, curr=(534,295), pos=(520,300), read_mem_en=0, addr=4294967160, pix=000
time=225000, curr=(535,295), pos=(520,300), read_mem_en=0, addr=4294967161, pix=000
time=235000, curr=(536,295), pos=(520,300), read_mem_en=0, addr=4294967162, pix=000
time=245000, curr=(537,295), pos=(520,300), read_mem_en=0, addr=4294967163, pix=000
time=255000, curr=(538,295), pos=(520,300), read_mem_en=0, addr=4294967164, pix=000
time=265000, curr=(539,295), pos=(520,300), read_mem_en=0, addr=4294967165, pix=000
time=275000, curr=(540,295), pos=(520,300), read_mem_en=0, addr=4294967166, pix=000
time=285000, curr=(541,295), pos=(520,300), read_mem_en=0, addr=4294967167, pix=000
time=295000, curr=(542,295), pos=(520,300), read_mem_en=0, addr=4294967168, pix=000
time=305000, curr=(543,295), pos=(520,300), read_mem_en=0, addr=4294967169, pix=000
time=315000, curr=(544,295), pos=(520,300), read_mem_en=0, addr=4294967170, pix=000
time=325000, curr=(545,295), pos=(520,300), read_mem_en=0, addr=4294967171, pix=000
time=335000, curr=(546,295), pos=(520,300), read_mem_en=0, addr=4294967172, pix=000
time=345000, curr=(547,295), pos=(520,300), read_mem_en=0, addr=4294967173, pix=000
time=355000, curr=(548,295), pos=(520,300), read_mem_en=0, addr=4294967174, pix=000
time=365000, curr=(549,295), pos=(520,300), read_mem_en=0, addr=4294967175, pix=000
time=375000, curr=(550,295), pos=(520,300), read_mem_en=0, addr=4294967176, pix=000
time=385000, curr=(551,295), pos=(520,300), read_mem_en=0, addr=4294967177, pix=000
time=395000, curr=(552,295), pos=(520,300), read_mem_en=0, addr=4294967178, pix=000
